Name_in_phyllo	Name_in_pdist	Name_in_fasta	STRAIN	Genus	Species	ENVIRONMENT	Clade-ref
NZ_CP029551_1_4749958_4754089_Methylobacterium_sp__17Sr1_43_chromosome_complete_genome	NZ_CP029551.1:4749958-4754089_Methylobacterium_sp._17Sr1-43_chromosome_complete_genome	NZ_CP029551.1:4749958-4754089	17Sr1-43	Methylobacterium	sp.	ANTHROPO/SOIL	A7
NZ_CP029552_1_4924622_4928749_Methylobacterium_sp__17Sr1_1_chromosome_complete_genome	NZ_CP029552.1:4924622-4928749_Methylobacterium_sp._17Sr1-1_chromosome_complete_genome	NZ_CP029552.1:4924622-4928749	17Sr1-1	Methylobacterium	sp.	SOIL	C
NZ_CP029553_1_4111539_4115660_Methylobacterium_terrae_strain_17Sr1_28_chromosome_complete_genome	NZ_CP029553.1:4111539-4115660_Methylobacterium_terrae_strain_17Sr1-28_chromosome_complete_genome	NZ_CP029553.1:4111539-4115660	17Sr1-28	Methylobacterium	sp.	ANTHROPO/SOIL	C
NZ_CP033231_1_4987023_4991149_Methylobacterium_brachiatum_strain_TX0642_chromosome	NZ_CP033231.1:4987023-4991149_Methylobacterium_brachiatum_strain_TX0642_chromosome	NZ_CP033231.1:4987023-4991149	TX0642	Methylobacterium	brachiatum	ANTHROPO	A9
NZ_CP039546_1_4367210_4371369_Methylorubrum_populi_strain_YC_XJ1_chromosome_complete_genome	NZ_CP039546.1:4367210-4371369_Methylorubrum_populi_strain_YC-XJ1_chromosome_complete_genome	NZ_CP039546.1:4367210-4371369	YC-XJ1	Methylobacterium	populi	UNKNOWN	B
NZ_CP042823_1_5453322_5457448_Methylobacterium_sp__WL1_chromosome_complete_genome	NZ_CP042823.1:5453322-5457448_Methylobacterium_sp._WL1_chromosome_complete_genome	NZ_CP042823.1:5453322-5457448	WL1	Methylobacterium	sp.	PHYLLOSPHERE	A9
NZ_CP043538_1_5350047_5354172_Methylobacterium_mesophilicum_SR1_6_6_chromosome_complete_genome	NZ_CP043538.1:5350047-5354172_Methylobacterium_mesophilicum_SR1.6/6_chromosome_complete_genome	NZ_CP043538.1:5350047-5354172	SR1.6/6	Methylobacterium	mesophilicum	PHYLLOSPHERE	A9
NZ_CP045423_1_2479322_2483416_Microvirga_sp__HR1_chromosome_complete_genome	NZ_CP045423.1:2479322-2483416_Microvirga_sp._HR1_chromosome_complete_genome	NZ_CP045423.1:2479322-2483416	HR1	Microvirga	sp.	-	Microvirga
NZ_CP047607_1_4295873_4300036_Methylobacterium_sp__NI91_chromosome_complete_genome	NZ_CP047607.1:4295873-4300036_Methylobacterium_sp._NI91_chromosome_complete_genome	NZ_CP047607.1:4295873-4300036	NI91	Methylobacterium	sp.	SOIL	B
NZ_CP047608_1_4295861_4300024_Methylobacterium_sp__CLZ_chromosome_complete_genome	NZ_CP047608.1:4295861-4300024_Methylobacterium_sp._CLZ_chromosome_complete_genome	NZ_CP047608.1:4295861-4300024	CLZ	Methylobacterium	sp.	SOIL	B
NZ_FMVJ01000024_1_4159_8290_Microvirga_guangxiensis_strain_CGMCC_1_7666_whole_genome_shotgun_seq	NZ_FMVJ01000024.1:4159-8290_Microvirga_guangxiensis_strain_CGMCC_1.7666_whole_genome_shotgun_sequence	NZ_FMVJ01000024.1:4159-8290	CGMCC1.7666	Microvirga	guangxiensis	-	Microvirga
NZ_FMWU01000028_1_7935_12060_Methylobacterium_sp__UNC378MF_whole_genome_shotgun_sequence	NZ_FMWU01000028.1:7935-12060_Methylobacterium_sp._UNC378MF_whole_genome_shotgun_sequence	NZ_FMWU01000028.1:7935-12060	UNC378MF	Methylobacterium	sp.	PLANT	A9
NZ_FNHS01000021_1_69030_73155_Methylobacterium_phyllostachyos_strain_BL47_whole_genome_shotgun_s	NZ_FNHS01000021.1:69030-73155_Methylobacterium_phyllostachyos_strain_BL47_whole_genome_shotgun_sequence	NZ_FNHS01000021.1:69030-73155	BL47	Methylobacterium	phyllostachyos	PHYLLOSPHERE	A9
NZ_FNVI01000025_1_82255_86380_Methylobacterium_sp__190mf_whole_genome_shotgun_sequence	NZ_FNVI01000025.1:82255-86380_Methylobacterium_sp._190mf_whole_genome_shotgun_sequence	NZ_FNVI01000025.1:82255-86380	190mf	Methylobacterium	sp.	PLANT	A9
NZ_FNWP01000028_1_73017_77142_Methylobacterium_sp__275MFSha3_1_whole_genome_shotgun_sequence	NZ_FNWP01000028.1:73017-77142_Methylobacterium_sp._275MFSha3.1_whole_genome_shotgun_sequence	NZ_FNWP01000028.1:73017-77142	275MFSha3.1	Methylobacterium	sp.	PLANT	A9
NZ_FOCS01000022_1_7115_11240_Methylobacterium_sp__UNC300MFChir4_1_whole_genome_shotgun_sequence	NZ_FOCS01000022.1:7115-11240_Methylobacterium_sp._UNC300MFChir4.1_whole_genome_shotgun_sequence	NZ_FOCS01000022.1:7115-11240	UNC300MFChir4.1	Methylobacterium	sp.	PLANT	A9
NZ_FOEB01000013_1_92220_96336_Methylobacterium_sp__ap11_whole_genome_shotgun_sequence	NZ_FOEB01000013.1:92220-96336_Methylobacterium_sp._ap11_whole_genome_shotgun_sequence	NZ_FOEB01000013.1:92220-96336	ap11	Methylobacterium	sp.	RHIZHOSPHERE	C
NZ_FOMM01000028_1_73089_77214_Methylobacterium_sp__13MFTsu3_1M2_whole_genome_shotgun_sequence	NZ_FOMM01000028.1:73089-77214_Methylobacterium_sp._13MFTsu3.1M2_whole_genome_shotgun_sequence	NZ_FOMM01000028.1:73089-77214	13MFTsu3.1M2	Methylobacterium	sp.	PLANT	A9
NZ_FONO01000007_1_212103_216224_Methylobacterium_sp__yr596_whole_genome_shotgun_sequence	NZ_FONO01000007.1:212103-216224_Methylobacterium_sp._yr596_whole_genome_shotgun_sequence	NZ_FONO01000007.1:212103-216224	yr596	Methylobacterium	sp.	RHIZHOSPHERE	C
NZ_FOPK01000028_1_61297_65422_Methylobacterium_phyllosphaerae_strain_CBMB27_whole_genome_shotgun	NZ_FOPK01000028.1:61297-65422_Methylobacterium_phyllosphaerae_strain_CBMB27_whole_genome_shotgun_sequence	NZ_FOPK01000028.1:61297-65422	CBMB27-2	Methylobacterium	phyllosphaerae	PHYLLOSPHERE	A9
NZ_FOPM01000039_1_8057_12219_Methylobacterium_gossipiicola_strain_Gh_105_whole_genome_shotgun_se	NZ_FOPM01000039.1:8057-12219_Methylobacterium_gossipiicola_strain_Gh-105_whole_genome_shotgun_sequence	NZ_FOPM01000039.1:8057-12219	Gh-105	Methylobacterium	gossipiicola	PHYLLOSPHERE	A1
NZ_FOQW01000023_1_73136_77262_Methylobacterium_brachiatum_strain_111MFTsu3_1M4_whole_genome_shot	NZ_FOQW01000023.1:73136-77262_Methylobacterium_brachiatum_strain_111MFTsu3.1M4_whole_genome_shotgun_sequence	NZ_FOQW01000023.1:73136-77262	111MFTsu3.1M4	Methylobacterium	brachiatum	PLANT	A9
NZ_FOSV01000026_1_34273_38434_Methylorubrum_salsuginis_strain_CGMCC_1_6474_whole_genome_shotgun	NZ_FOSV01000026.1:34273-38434_Methylorubrum_salsuginis_strain_CGMCC_1.6474_whole_genome_shotgun_sequence	NZ_FOSV01000026.1:34273-38434	CGMCC1.6474	Methylobacterium	salsuginis	OCEAN	B
NZ_FOTK01000001_1_27799_31925_Methylobacterium_pseudosasicola_strain_BL36_whole_genome_shotgun_s	NZ_FOTK01000001.1:27799-31925_Methylobacterium_pseudosasicola_strain_BL36_whole_genome_shotgun_sequence	NZ_FOTK01000001.1:27799-31925	BL36	Methylobacterium	pseudosasicola	PHYLLOSPHERE	A9
NZ_FOZY01000021_1_7160_11285_Methylobacterium_sp__yr668_whole_genome_shotgun_sequence	NZ_FOZY01000021.1:7160-11285_Methylobacterium_sp._yr668_whole_genome_shotgun_sequence	NZ_FOZY01000021.1:7160-11285	yr668	Methylobacterium	sp.	RHIZHOSPHERE	A9
NZ_FPBW01000029_1_7952_12077_Methylobacterium_sp__UNCCL125_whole_genome_shotgun_sequence	NZ_FPBW01000029.1:7952-12077_Methylobacterium_sp._UNCCL125_whole_genome_shotgun_sequence	NZ_FPBW01000029.1:7952-12077	UNCCL125	Methylobacterium	sp.	PLANT	A9
NZ_FPCB01000067_1_8238_12365_Methylobacterium_sp__174MFSha1_1_whole_genome_shotgun_sequence	NZ_FPCB01000067.1:8238-12365_Methylobacterium_sp._174MFSha1.1_whole_genome_shotgun_sequence	NZ_FPCB01000067.1:8238-12365	174MFSha1.1	Methylobacterium	sp.	PLANT	C
NZ_JAAAXI010000012_1_59177_63271_Microvirga_sp__SYSU_G3D207_Scaffold12_whole_genome_shotgun_sequ	NZ_JAAAXI010000012.1:59177-63271_Microvirga_sp._SYSU_G3D207_Scaffold12_whole_genome_shotgun_sequence	NZ_JAAAXI010000012.1:59177-63271	SYSUG3D207	Microvirga	sp.	-	Microvirga
NZ_JAAAXJ010000010_1_59251_63345_Microvirga_sp__SYSU_G3D203_Scaffold10_whole_genome_shotgun_sequ	NZ_JAAAXJ010000010.1:59251-63345_Microvirga_sp._SYSU_G3D203_Scaffold10_whole_genome_shotgun_sequence	NZ_JAAAXJ010000010.1:59251-63345	SYSUG3D203	Microvirga	sp.	-	Microvirga
NZ_JAAHTB010000003_1_124410_128568_Methylobacterium_sp__BTF04_contig00003_whole_genome_shotgun_s	NZ_JAAHTB010000003.1:124410-128568_Methylobacterium_sp._BTF04_contig00003_whole_genome_shotgun_sequence	NZ_JAAHTB010000003.1:124410-128568	BTF04	Methylobacterium	sp.	WATER	A1
NZ_JAAKGV010000048_1_8479_12606_Methylobacterium_sp__DB0501_contig48_whole_genome_shotgun_sequen	NZ_JAAKGV010000048.1:8479-12606_Methylobacterium_sp._DB0501_contig48_whole_genome_shotgun_sequence	NZ_JAAKGV010000048.1:8479-12606	DB0501	Methylobacterium	sp.	ANTHROPO	C
NZ_JAATJS010000010_1_8100_12231_Microvirga_sp__c23x22_contig10_whole_genome_shotgun_sequence	NZ_JAATJS010000010.1:8100-12231_Microvirga_sp._c23x22_contig10_whole_genome_shotgun_sequence	NZ_JAATJS010000010.1:8100-12231	c23x22	Microvirga	sp.	-	Microvirga
NZ_JABEPP010000002_1_802747_806873_Enterovirga_sp__DB1703_contig2_whole_genome_shotgun_sequence	NZ_JABEPP010000002.1:802747-806873_Enterovirga_sp._DB1703_contig2_whole_genome_shotgun_sequence	NZ_JABEPP010000002.1:802747-806873	DB1703	Enterovirga	sp.	-	Enterovirga
NZ_JABMLM010000237_1_4201_8294_Microvirga_sp__R24_825_whole_genome_shotgun_sequence	NZ_JABMLM010000237.1:4201-8294_Microvirga_sp._R24_825_whole_genome_shotgun_sequence	NZ_JABMLM010000237.1:4201-8294	R24825	Microvirga	sp.	-	Microvirga
NZ_JABMLM010000247_1_5346_9457_Microvirga_sp__R24_845_whole_genome_shotgun_sequence	NZ_JABMLM010000247.1:5346-9457_Microvirga_sp._R24_845_whole_genome_shotgun_sequence	NZ_JABMLM010000247.1:5346-9457	R24845	Microvirga	sp.	-	Microvirga
NZ_JACCCR010000001_1_1631282_1635407_Methylobacterium_sp__YL_MPn5_2016_Ga0395892_01_whole_genome	NZ_JACCCR010000001.1:1631282-1635407_Methylobacterium_sp._YL-MPn5-2016_Ga0395892_01_whole_genome_shotgun_sequence	NZ_JACCCR010000001.1:1631282-1635407	YL-MPn5-2016	Methylobacterium	sp.	WATER	A9
NZ_JACCCS010000001_1_2152017_2156142_Methylobacterium_sp__YL_MPn6_2016_Ga0395893_01_whole_genome	NZ_JACCCS010000001.1:2152017-2156142_Methylobacterium_sp._YL-MPn6-2016_Ga0395893_01_whole_genome_shotgun_sequence	NZ_JACCCS010000001.1:2152017-2156142	YL-MPn6-2016	Methylobacterium	sp.	WATER	A9
NZ_JACDXJ010000001_1_2255707_2259803_Microvirga_sp__Marseille_Q2068_NODE_1_length_4703417_cov_22	NZ_JACDXJ010000001.1:2255707-2259803_Microvirga_sp._Marseille-Q2068_NODE_1_length_4703417_cov_22.6545_whole_genome_shotgun_sequence	NZ_JACDXJ010000001.1:2255707-2259803	Marseille-Q2068	Microvirga	sp.	-	Microvirga
NZ_JACHOP010000007_1_67137_71297_Methylorubrum_rhodinum_strain_DSM_2163_Ga0373200_07_whole_genom	NZ_JACHOP010000007.1:67137-71297_Methylorubrum_rhodinum_strain_DSM_2163_Ga0373200_07_whole_genome_shotgun_sequence	NZ_JACHOP010000007.1:67137-71297	DSM2163	Methylobacterium	rhodinum	SOIL	B
NZ_JACHOS010000003_1_215321_219484_Methylorubrum_rhodesianum_strain_DSM_5687_Ga0373205_03_whole	NZ_JACHOS010000003.1:215321-219484_Methylorubrum_rhodesianum_strain_DSM_5687_Ga0373205_03_whole_genome_shotgun_sequence	NZ_JACHOS010000003.1:215321-219484	DSM5687	Methylobacterium	rhodesianum	ANTHROPO	B
NZ_JACHWB010000003_1_347060_351154_Microvirga_lupini_strain_AT3_9_Ga0372452_03_whole_genome_shot	NZ_JACHWB010000003.1:347060-351154_Microvirga_lupini_strain_AT3.9_Ga0372452_03_whole_genome_shotgun_sequence	NZ_JACHWB010000003.1:347060-351154	AT3.9	Microvirga	lupini	-	Microvirga
NZ_JACHWM010000007_1_29628_33791_Methylobacterium_sp__R2_1_Ga0299752_07_whole_genome_shotgun_seq	NZ_JACHWM010000007.1:29628-33791_Methylobacterium_sp._R2-1_Ga0299752_07_whole_genome_shotgun_sequence	NZ_JACHWM010000007.1:29628-33791	R2-1	Methylobacterium	sp.	UNKNOWN	B
NZ_JACIDC010000023_1_4624_8718_Microvirga_flocculans_strain_DSM_15743_Ga0373218_23_whole_genome	NZ_JACIDC010000023.1:4624-8718_Microvirga_flocculans_strain_DSM_15743_Ga0373218_23_whole_genome_shotgun_sequence	NZ_JACIDC010000023.1:4624-8718	DSM15743	Microvirga	flocculans	-	Microvirga
NZ_JACIDN010000010_1_8373_12526_Methylobacterium_brachythecii_strain_DSM_24105_Ga0373233_10_whol	NZ_JACIDN010000010.1:8373-12526_Methylobacterium_brachythecii_strain_DSM_24105_Ga0373233_10_whole_genome_shotgun_sequence	NZ_JACIDN010000010.1:8373-12526	DSM24105	Methylobacterium	brachythecii	PHYLLOSPHERE	A4
NZ_JACJIB010000004_1_421199_425358_Methylorubrum_thiocyanatum_strain_DSM_11490_Ga0415277_04_whol	NZ_JACJIB010000004.1:421199-425358_Methylorubrum_thiocyanatum_strain_DSM_11490_Ga0415277_04_whole_genome_shotgun_sequence	NZ_JACJIB010000004.1:421199-425358	DSM11490	Methylobacterium	thiocyanatum	RHIZHOSPHERE	B
NZ_JACJIM010000007_1_7836_11961_Methylobacterium_fujisawaense_strain_DSM_5686_Ga0373204_07_whole	NZ_JACJIM010000007.1:7836-11961_Methylobacterium_fujisawaense_strain_DSM_5686_Ga0373204_07_whole_genome_shotgun_sequence	NZ_JACJIM010000007.1:7836-11961	DSM5686	Methylobacterium	fujisawaense	UNKNOWN	A9
NZ_JACJIN010000005_1_484245_488413_Methylobacterium_sp__RAS18_Ga0372453_05_whole_genome_shotgun	NZ_JACJIN010000005.1:484245-488413_Methylobacterium_sp._RAS18_Ga0372453_05_whole_genome_shotgun_sequence	NZ_JACJIN010000005.1:484245-488413	RAS18	Methylobacterium	sp.	UNKNOWN	B
NZ_JAEA01000023_1_4617_8711_Microvirga_flocculans_ATCC_BAA_817_L879DRAFT_scaffold00022_22_C_whol	NZ_JAEA01000023.1:4617-8711_Microvirga_flocculans_ATCC_BAA-817_L879DRAFT_scaffold00022.22_C_whole_genome_shotgun_sequence	NZ_JAEA01000023.1:4617-8711	ATCCBAA-817	Microvirga	flocculans	-	Microvirga
NZ_JH660645_1_2080543_2084639_Microvirga_lotononidis_strain_WSM3557_Micloscaffold_13_whole_genom	NZ_JH660645.1:2080543-2084639_Microvirga_lotononidis_strain_WSM3557_Micloscaffold_13_whole_genome_shotgun_sequence	NZ_JH660645.1:2080543-2084639	WSM3557	Microvirga	lotononidis	-	Microvirga
NZ_JPUG01000061_1_5274_9370_Microvirga_sp__BSC39_scf7180000028483_whole_genome_shotgun_sequence	NZ_JPUG01000061.1:5274-9370_Microvirga_sp._BSC39_scf7180000028483_whole_genome_shotgun_sequence	NZ_JPUG01000061.1:5274-9370	BSC39	Microvirga	sp.	-	Microvirga
NZ_JQJG01000037_1_7799_11924_Methylobacterium_sp__UNCCL110_BR90DRAFT_scaffold00034_34_C_whole_ge	NZ_JQJG01000037.1:7799-11924_Methylobacterium_sp._UNCCL110_BR90DRAFT_scaffold00034.34_C_whole_genome_shotgun_sequence	NZ_JQJG01000037.1:7799-11924	UNCCL110	Methylobacterium	sp.	PLANT	A9
NZ_JTHF01000175_1_8125_12246_Methylobacterium_platani_strain_SE2_11_contig_175_whole_genome_shot	NZ_JTHF01000175.1:8125-12246_Methylobacterium_platani_strain_SE2.11_contig_175_whole_genome_shotgun_sequence	NZ_JTHF01000175.1:8125-12246	SE2.11	Methylobacterium	platani	SEED	C
NZ_JTHG01000082_1_19595_23716_Methylobacterium_platani_strain_SE3_6_contig_82_whole_genome_shotg	NZ_JTHG01000082.1:19595-23716_Methylobacterium_platani_strain_SE3.6_contig_82_whole_genome_shotgun_sequence	NZ_JTHG01000082.1:19595-23716	SE3.6	Methylobacterium	platani	SEED	C
NZ_JXOD01000161_1_8006_12133_Methylobacterium_platani_JCM_14648_contig_161_whole_genome_shotgun	NZ_JXOD01000161.1:8006-12133_Methylobacterium_platani_JCM_14648_contig_161_whole_genome_shotgun_sequence	NZ_JXOD01000161.1:8006-12133	JCM14648	Methylobacterium	platani	PHYLLOSPHERE	C
NZ_KB316282_1_1727724_1731887_Methylobacterium_sp__MB200_Scaffold1_whole_genome_shotgun_sequence	NZ_KB316282.1:1727724-1731887_Methylobacterium_sp._MB200_Scaffold1_whole_genome_shotgun_sequence	NZ_KB316282.1:1727724-1731887	MB200	Methylobacterium	sp.	ANTHROPO	B
NZ_KB900609_1_5465869_5469990_Methylobacterium_sp__WSM2598_MET2598DRAFT_scaffold1_1_whole_genome	NZ_KB900609.1:5465869-5469990_Methylobacterium_sp._WSM2598_MET2598DRAFT_scaffold1.1_whole_genome_shotgun_sequence	NZ_KB900609.1:5465869-5469990	WSM2598	Methylobacterium	sp.	RHIZHOSPHERE	C
NZ_KB910516_1_1770471_1774629_Methylobacterium_sp__77_scaffold1_whole_genome_shotgun_sequence	NZ_KB910516.1:1770471-1774629_Methylobacterium_sp._77_scaffold1_whole_genome_shotgun_sequence	NZ_KB910516.1:1770471-1774629	77	Methylobacterium	sp.	WATER	A2
NZ_KB911310_1_7531_11656_Methylobacterium_sp__285MFTsu5_1_H288DRAFT_scaffold00041_41_whole_genom	NZ_KB911310.1:7531-11656_Methylobacterium_sp._285MFTsu5.1_H288DRAFT_scaffold00041.41_whole_genome_shotgun_sequence	NZ_KB911310.1:7531-11656	285MFTsu5.1	Methylobacterium	sp.	PLANT	A9
NZ_KI912577_1_3105319_3109477_Methylobacterium_sp__10_K368DRAFT_scaffold00001_1_whole_genome_sho	NZ_KI912577.1:3105319-3109477_Methylobacterium_sp._10_K368DRAFT_scaffold00001.1_whole_genome_shotgun_sequence	NZ_KI912577.1:3105319-3109477	10	Methylobacterium	sp.	WATER	A2
NZ_LABX01000003_1_8702_12823_Methylobacterium_aquaticum_strain_DSM_16371_contig_3_whole_genome_s	NZ_LABX01000003.1:8702-12823_Methylobacterium_aquaticum_strain_DSM_16371_contig_3_whole_genome_shotgun_sequence	NZ_LABX01000003.1:8702-12823	DSM16371	Methylobacterium	aquaticum	ANTHROPO/WATER	C
NZ_LABY01000252_1_7711_11832_Methylobacterium_variabile_strain_DSM_16961_contig_252_whole_genome	NZ_LABY01000252.1:7711-11832_Methylobacterium_variabile_strain_DSM_16961_contig_252_whole_genome_shotgun_sequence	NZ_LABY01000252.1:7711-11832	DSM16961	Methylobacterium	variabile	ANTHROPO/WATER	C
NZ_LABZ01000061_1_8025_12152_Methylobacterium_tarhaniae_strain_DSM_25844_contig_61_whole_genome	NZ_LABZ01000061.1:8025-12152_Methylobacterium_tarhaniae_strain_DSM_25844_contig_61_whole_genome_shotgun_sequence	NZ_LABZ01000061.1:8025-12152	DSM25844	Methylobacterium	tarhaniae	SOIL	C
NZ_LACA01000030_1_68899_73024_Methylobacterium_radiotolerans_strain_RE1_2_contig_30_whole_genome	NZ_LACA01000030.1:68899-73024_Methylobacterium_radiotolerans_strain_RE1.2_contig_30_whole_genome_shotgun_sequence	NZ_LACA01000030.1:68899-73024	RE1.2	Methylobacterium	radiotolerans	SEED	A9
NZ_LCYG01000101_1_7950_12076_Microvirga_vignae_strain_BR3299_T20BR3299_1__paired__contig_101_who	NZ_LCYG01000101.1:7950-12076_Microvirga_vignae_strain_BR3299_T20BR3299_1_(paired)_contig_101_whole_genome_shotgun_sequence	NZ_LCYG01000101.1:7950-12076	BR3299	Microvirga	vignae	-	Microvirga
NZ_LDRL01000023_1_104721_108842_Methylobacterium_indicum_strain_NS228_contig_23_whole_genome_sho	NZ_LDRL01000023.1:104721-108842_Methylobacterium_indicum_strain_NS228_contig_23_whole_genome_shotgun_sequence	NZ_LDRL01000023.1:104721-108842	NS228	Methylobacterium	indicum	SEED	C
NZ_LDRM01000196_1_8716_12837_Methylobacterium_indicum_strain_NS229_contig_196_whole_genome_shotg	NZ_LDRM01000196.1:8716-12837_Methylobacterium_indicum_strain_NS229_contig_196_whole_genome_shotgun_sequence	NZ_LDRM01000196.1:8716-12837	NS229	Methylobacterium	indicum	SEED	C
NZ_LDRN01000059_1_8716_12837_Methylobacterium_indicum_strain_NS230_contig_59_whole_genome_shotgu	NZ_LDRN01000059.1:8716-12837_Methylobacterium_indicum_strain_NS230_contig_59_whole_genome_shotgun_sequence	NZ_LDRN01000059.1:8716-12837	NS230	Methylobacterium	indicum	SEED	C
NZ_LHCD01000028_1_68801_72927_Methylobacterium_sp__ARG_1_Contig28_whole_genome_shotgun_sequence	NZ_LHCD01000028.1:68801-72927_Methylobacterium_sp._ARG-1_Contig28_whole_genome_shotgun_sequence	NZ_LHCD01000028.1:68801-72927	ARG-1	Methylobacterium	sp.	LICHEN-FUNGI	A9
NZ_LKKO01000078_1_8778_12904_Methylobacterium_sp__GXS13_contigs68_whole_genome_shotgun_sequence	NZ_LKKO01000078.1:8778-12904_Methylobacterium_sp._GXS13_contigs68_whole_genome_shotgun_sequence	NZ_LKKO01000078.1:8778-12904	GXS13	Methylobacterium	sp.	ENDOPHYTE	A9
NZ_LMME01000021_1_8230_12388_Methylobacterium_sp__Leaf85_contig_28_whole_genome_shotgun_sequence	NZ_LMME01000021.1:8230-12388_Methylobacterium_sp._Leaf85_contig_28_whole_genome_shotgun_sequence	NZ_LMME01000021.1:8230-12388	Leaf85	Methylobacterium	sp.	PHYLLOSPHERE	A2
NZ_LMMG01000019_1_8239_12366_Methylobacterium_sp__Leaf86_contig_26_whole_genome_shotgun_sequence	NZ_LMMG01000019.1:8239-12366_Methylobacterium_sp._Leaf86_contig_26_whole_genome_shotgun_sequence	NZ_LMMG01000019.1:8239-12366	Leaf86	Methylobacterium	sp.	PHYLLOSPHERE	A2
NZ_LMMI01000032_1_8049_12207_Methylobacterium_sp__Leaf87_contig_38_whole_genome_shotgun_sequence	NZ_LMMI01000032.1:8049-12207_Methylobacterium_sp._Leaf87_contig_38_whole_genome_shotgun_sequence	NZ_LMMI01000032.1:8049-12207	Leaf87	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMMK01000043_1_8028_12187_Methylobacterium_sp__Leaf88_contig_48_whole_genome_shotgun_sequence	NZ_LMMK01000043.1:8028-12187_Methylobacterium_sp._Leaf88_contig_48_whole_genome_shotgun_sequence	NZ_LMMK01000043.1:8028-12187	Leaf88	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMML01000024_1_6515_10674_Methylobacterium_sp__Leaf89_contig_30_whole_genome_shotgun_sequence	NZ_LMML01000024.1:6515-10674_Methylobacterium_sp._Leaf89_contig_30_whole_genome_shotgun_sequence	NZ_LMML01000024.1:6515-10674	Leaf89	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMMP01000021_1_11286_15444_Methylobacterium_sp__Leaf91_contig_28_whole_genome_shotgun_sequenc	NZ_LMMP01000021.1:11286-15444_Methylobacterium_sp._Leaf91_contig_28_whole_genome_shotgun_sequence	NZ_LMMP01000021.1:11286-15444	Leaf91	Methylobacterium	sp.	PHYLLOSPHERE	A2
NZ_LMMS01000016_1_10973_15131_Methylobacterium_sp__Leaf93_contig_23_whole_genome_shotgun_sequenc	NZ_LMMS01000016.1:10973-15131_Methylobacterium_sp._Leaf93_contig_23_whole_genome_shotgun_sequence	NZ_LMMS01000016.1:10973-15131	Leaf93	Methylobacterium	sp.	PHYLLOSPHERE	A2
NZ_LMMU01000005_1_7150_11308_Methylobacterium_sp__Leaf99_contig_13_whole_genome_shotgun_sequence	NZ_LMMU01000005.1:7150-11308_Methylobacterium_sp._Leaf99_contig_13_whole_genome_shotgun_sequence	NZ_LMMU01000005.1:7150-11308	Leaf99	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMMW01000022_1_8006_12164_Methylobacterium_sp__Leaf100_contig_29_whole_genome_shotgun_sequenc	NZ_LMMW01000022.1:8006-12164_Methylobacterium_sp._Leaf100_contig_29_whole_genome_shotgun_sequence	NZ_LMMW01000022.1:8006-12164	Leaf100	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMMX01000020_1_8008_12166_Methylobacterium_sp__Leaf102_contig_27_whole_genome_shotgun_sequenc	NZ_LMMX01000020.1:8008-12166_Methylobacterium_sp._Leaf102_contig_27_whole_genome_shotgun_sequence	NZ_LMMX01000020.1:8008-12166	Leaf102	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMMZ01000017_1_10747_14906_Methylobacterium_sp__Leaf104_contig_24_whole_genome_shotgun_sequen	NZ_LMMZ01000017.1:10747-14906_Methylobacterium_sp._Leaf104_contig_24_whole_genome_shotgun_sequence	NZ_LMMZ01000017.1:10747-14906	Leaf104	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMNB01000014_1_9514_13672_Methylobacterium_sp__Leaf106_contig_21_whole_genome_shotgun_sequenc	NZ_LMNB01000014.1:9514-13672_Methylobacterium_sp._Leaf106_contig_21_whole_genome_shotgun_sequence	NZ_LMNB01000014.1:9514-13672	Leaf106	Methylobacterium	sp.	PHYLLOSPHERE	A2
NZ_LMND01000006_1_28294_32453_Methylobacterium_sp__Leaf108_contig_14_whole_genome_shotgun_sequen	NZ_LMND01000006.1:28294-32453_Methylobacterium_sp._Leaf108_contig_14_whole_genome_shotgun_sequence	NZ_LMND01000006.1:28294-32453	Leaf108	Methylobacterium	sp.	PHYLLOSPHERE	A3
NZ_LMNE01000029_1_8064_12223_Methylobacterium_sp__Leaf111_contig_35_whole_genome_shotgun_sequenc	NZ_LMNE01000029.1:8064-12223_Methylobacterium_sp._Leaf111_contig_35_whole_genome_shotgun_sequence	NZ_LMNE01000029.1:8064-12223	Leaf111	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMNG01000020_1_8006_12164_Methylobacterium_sp__Leaf112_contig_27_whole_genome_shotgun_sequenc	NZ_LMNG01000020.1:8006-12164_Methylobacterium_sp._Leaf112_contig_27_whole_genome_shotgun_sequence	NZ_LMNG01000020.1:8006-12164	Leaf112	Methylobacterium	sp.	PHYLLOSPHERE	A1
NZ_LMNJ01000011_1_8180_12338_Methylobacterium_sp__Leaf113_contig_19_whole_genome_shotgun_sequenc	NZ_LMNJ01000011.1:8180-12338_Methylobacterium_sp._Leaf113_contig_19_whole_genome_shotgun_sequence	NZ_LMNJ01000011.1:8180-12338	Leaf113	Methylobacterium	sp.	PHYLLOSPHERE	A1
